Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,clab-clos-large-leaf28,Ethernet5,192.168.108.167/31,spine,clab-clos-large-spine3,Ethernet29,192.168.108.166/31
l3leaf,clab-clos-large-leaf29,Ethernet3,192.168.108.169/31,spine,clab-clos-large-spine1,Ethernet30,192.168.108.168/31
l3leaf,clab-clos-large-leaf29,Ethernet4,192.168.108.171/31,spine,clab-clos-large-spine2,Ethernet30,192.168.108.170/31
l3leaf,clab-clos-large-leaf29,Ethernet5,192.168.108.173/31,spine,clab-clos-large-spine3,Ethernet30,192.168.108.172/31
l3leaf,clab-clos-large-leaf30,Ethernet3,192.168.108.175/31,spine,clab-clos-large-spine1,Ethernet31,192.168.108.174/31
l3leaf,clab-clos-large-leaf30,Ethernet4,192.168.108.177/31,spine,clab-clos-large-spine2,Ethernet31,192.168.108.176/31
l3leaf,clab-clos-large-leaf30,Ethernet5,192.168.108.179/31,spine,clab-clos-large-spine3,Ethernet31,192.168.108.178/31
l3leaf,clab-clos-large-leaf31,Ethernet3,192.168.108.181/31,spine,clab-clos-large-spine1,Ethernet32,192.168.108.180/31
l3leaf,clab-clos-large-leaf31,Ethernet4,192.168.108.183/31,spine,clab-clos-large-spine2,Ethernet32,192.168.108.182/31
l3leaf,clab-clos-large-leaf31,Ethernet5,192.168.108.185/31,spine,clab-clos-large-spine3,Ethernet32,192.168.108.184/31
l3leaf,clab-clos-large-leaf32,Ethernet3,192.168.108.187/31,spine,clab-clos-large-spine1,Ethernet33,192.168.108.186/31
l3leaf,clab-clos-large-leaf32,Ethernet4,192.168.108.189/31,spine,clab-clos-large-spine2,Ethernet33,192.168.108.188/31
l3leaf,clab-clos-large-leaf32,Ethernet5,192.168.108.191/31,spine,clab-clos-large-spine3,Ethernet33,192.168.108.190/31
l3leaf,clab-clos-large-leaf33,Ethernet3,192.168.108.193/31,spine,clab-clos-large-spine1,Ethernet34,192.168.108.192/31
l3leaf,clab-clos-large-leaf33,Ethernet4,192.168.108.195/31,spine,clab-clos-large-spine2,Ethernet34,192.168.108.194/31
l3leaf,clab-clos-large-leaf33,Ethernet5,192.168.108.197/31,spine,clab-clos-large-spine3,Ethernet34,192.168.108.196/31
l3leaf,clab-clos-large-leaf34,Ethernet3,192.168.108.199/31,spine,clab-clos-large-spine1,Ethernet35,192.168.108.198/31
l3leaf,clab-clos-large-leaf34,Ethernet4,192.168.108.201/31,spine,clab-clos-large-spine2,Ethernet35,192.168.108.200/31
l3leaf,clab-clos-large-leaf34,Ethernet5,192.168.108.203/31,spine,clab-clos-large-spine3,Ethernet35,192.168.108.202/31
l3leaf,clab-clos-large-leaf35,Ethernet3,192.168.108.205/31,spine,clab-clos-large-spine1,Ethernet36,192.168.108.204/31
l3leaf,clab-clos-large-leaf35,Ethernet4,192.168.108.207/31,spine,clab-clos-large-spine2,Ethernet36,192.168.108.206/31
